Year,Plot,DBH,Height,Gap,Biomass,Richness,H',C_0-50,C_51-100,C_101-150,C_151-200,CC
2016,S08-17-25,8.052837,8.582608,21.886,22.805,7,1.87,4,4,2,1,4.75
2016,S08-17-26,9.807222,8.36676,24.248,11.55,8,2.03,4,1,1,1,4.277777778
2016,S08-17-59,9.477612,8.494821,22.988,19.87,8,1.88,2,1,1,1,3.583333333
2016,S08-17-60,11.255963,9.990102,15.602,10.68,12,2.43,1,1,1,1,2.736842105
2016,S08-3-23,10.586357,7.943306,17.584,28.95,7,1.72,4,3,1,1,7.090909091
2016,S08-3-24,9.805581,8.783911,27.302,18.03,5,1.39,4,4,3,1,5
2016,S08-3-53,10.43819,8.924834,21.508,22.77,8,1.92,4,1,1,1,6.2
2016,S08-3-54,10.23697,8.579658,18.576,37.75,8,1.81,2,1,1,1,6.166666667
2016,S08-32-61,9.572885,8.303052,26.762,27.75,4,1.49,1,1,1,1,4.933333333
2016,S08-32-62,10.16,8.281101,30.52,37.63,9,1.87,4,2,1,1,3.777777778
2016,S08-32-63,10.062882,9.202271,26.244,11.25,6,1.2,2,1,1,1,4.833333333
2016,S08-32-64,9.881419,8.323006,32.278,23.01,5,1.24,4,2,1,1,6.090909091
2016,S08-36-25,10.257551,9.595457,17.026,25.07,9,1.92,4,4,4,4,3.47826087
2016,S08-36-26,11.982824,9.484659,19.15,13.19,10,2.1,4,4,1,1,3.47826087
2016,S08-36-59,8.957733,8.484955,24.312,17.63,10,2.06,2,2,2,2,5.043478261
2016,S08-36-60,10.6172,9.17448,18.872,29.22,8,1.68,4,1,1,1,3.409090909
2016,S13-17-17,4.454118,1.886078,84.28,19.13,14,2.21,4,4,1,1,5.689655172
2016,S13-17-18,6.624583,3.167292,72.5,94.49,26,2.87,4,4,4,3,4.458333333
2016,S13-17-49,6.824762,3.346905,67.9,61.5,17,2.62,4,4,4,1,4
2016,S13-17-50,6.795098,3.470196,72.55,76.49,16,2.61,4,4,3,1,5.024390244
2016,S13-2-65,6.3372,3.3138,68.28,133.73,19,2.69,4,4,2,1,5.471698113
2016,S13-2-66,6.790851,3.608936,66.47,88.41,18,2.59,4,4,4,2,4.955555556
