ID,Loc,Block,Border,Row,Tree,Fam,Sur0,Sur1,Sur2,GLD0,GLD1,GLD2,HT0,HT1,HT2,DBH3,DBH4,DBH5,DBH6,DBH7,HT3,HT4,HT5,HT6,HT7,CHT5,CHT6,CHT7
21317,HF,3,0,13,17,AGH2,0,0,0,7.14,15,41.48,0.55,0.645,1.54,2.19202,4.846,7.62,10.414,12.7,2.3749,3.7846,5.3594,5.9436,.,0.253999898,0.4064,2.2098
21318,HF,3,0,13,18,AGH2,0,0,0,5.56,8.28,18.75,0.38,0.595,1.26,0.46482,1.965,4.826,7.62,11.938,1.6002,2.4892,4.2037,4.8768,.,0.508000102,0.5588,2.25552
21319,HF,3,0,13,19,AGH2,0,1,1,4.17,.,.,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21417,HF,3,0,14,17,AGH2,0,0,0,4.44,13.44,36.61,0.4,0.72,1.51,1.12014,2.727,4.318,6.604,10.16,2.0574,3.175,5.08,5.4864,10.0584,0.355600102,0.889,2.1336
21418,HF,3,0,14,18,AGH2,0,0,0,4.11,12.4,38.28,0.31,0.763,1.54,1.82626,4.481,7.366,10.16,9.906,2.5146,3.556,5.3594,5.7912,10.3632,0.558799898,0.8382,2.1336
21419,HF,3,0,14,19,AGH2,0,0,0,6.93,16.23,35.43,0.47,0.782,1.59,1.7653,4.126,7.112,10.16,11.938,2.2352,3.302,4.7244,5.1816,9.7536,0.5334,0.4064,1.905
21722,HF,4,0,17,22,AGH2,0,0,0,8.26,16.9,33.2,0.53,0.938,1.5,2.85496,3.03,7.62,7.62,12.192,3.1369,2.921,4.3307,4.8768,10.3632,0.482599898,1.6763,0.67056
21723,HF,4,0,17,23,AGH2,0,0,0,6.11,9.95,23.5,0.42,0.473,1.19,2.42062,2.577,5.08,8.636,13.97,2.7432,2.7686,4.7117,4.8768,10.668,0.584200102,0.6858,1.00584
21724,HF,4,0,17,24,AGH2,0,0,0,7.12,12.31,19.1,0.42,0.514,1.07,2.413,1.348,3.81,6.858,10.16,2.8448,2.3622,4.0894,4.572,10.0584,0.482599898,0.8128,1.81356
21822,HF,4,0,18,22,AGH2,0,0,0,4.64,7.44,18.6,0.36,0.388,1.2,1.03124,2.767,3.81,7.874,6.35,1.6764,2.921,4.1021,4.8768,8.2296,0.6096,0.6096,0.85344
21823,HF,4,0,18,23,AGH2,0,1,0,5.37,.,27.1,0.54,.,1.4,.,.,5.08,.,9.398,.,.,4.572,.,8.5344,.,.,.
21824,HF,4,0,18,24,AGH2,0,0,1,4.58,8.86,.,0.52,0.525,.,0.67818,2.677,5.08,8.636,8.382,1.778,2.9464,5.1181,5.4864,9.144,0.6096,0.7112,0.67056
21922,HF,4,0,19,22,AGH2,0,0,0,5.07,13.6,33.6,0.5,1.055,1.63,2.05994,4.468,7.62,9.398,8.89,2.1844,3.556,5.08,6.096,8.2296,0.558799898,0.7874,1.3716
21923,HF,4,0,19,23,AGH2,0,0,0,4.86,17.09,35.1,0.45,0.814,1.64,1.73482,4.116,6.35,10.16,10.668,2.2987,3.302,5.2705,6.096,8.5344,0.431800102,0.9906,0.9144
21924,HF,4,0,19,24,AGH2,0,1,1,6.59,.,.,0.34,.,.,.,.,6.35,.,8.89,.,.,5.3213,.,8.5344,.,.,.
20207,HF,1,0,2,7,AGH25,0,1,1,5.87,.,.,0.37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20208,HF,1,0,2,8,AGH25,0,1,1,5.61,.,.,0.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20209,HF,1,0,2,9,AGH25,0,0,0,5.51,14.86,53.57,0.38,0.692,1.95,1.88976,4.034,8.89,10.16,13,2.5273,3.5814,5.0038,4.2672,5.800344,0.508000102,0.4064,0.48768
20307,HF,1,0,3,7,AGH25,0,1,1,5.31,.,.,0.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20308,HF,1,0,3,8,AGH25,0,0,0,4.27,17.89,48.9,0.38,1.173,2.34,2.63398,5.744,8.89,11.684,13.2,3.0607,4.445,5.4102,5.334,6.708648,0.634999898,0.7366,0.762
20309,HF,1,0,3,9,AGH25,0,0,0,3.05,12.3,37.3,0.38,0.827,1.97,1.17602,2.845,5.08,7.62,9.000000001,2.5019,3.429,4.6228,5.6388,7.028688,0.762,1.2191,1.524
20407,HF,1,0,4,7,AGH25,0,1,1,6.07,.,.,0.41,.,.,.,.,5.08,.,.,.,.,4.9276,.,.,.,.,.
20408,HF,1,0,4,8,AGH25,0,0,0,5.68,16.56,31.7,0.32,1.048,1.16,0.30988,1.359,.,8.128,9.400000001,1.4732,2.413,.,5.7912,9.4488,0.558799898,0.8248,0.82296
20409,HF,1,0,4,9,AGH25,0,0,0,4.77,13.24,33.2,0.34,0.51,1.32,.,.,5.08,.,.,.,.,3.1496,.,.,.,.,.
20712,HF,2,0,7,12,AGH25,0,0,0,4.03,10.48,9.95,0.37,0.435,0.61,.,0.694,2.54,6.858,4.499999999,.,1.9812,3.81,5.1816,6.858,0.6858,1.3462,0.42672
20713,HF,2,0,7,13,AGH25,0,0,0,4.73,11,27.98,0.47,0.563,1.32,0.98806,3.453,6.35,8.636,10.2,2.032,3.2004,4.445,5.334,7.62,0.584200102,1.8287,2.07264
20714,HF,2,0,7,14,AGH25,0,0,0,4.27,10.89,30.76,0.41,0.546,1.49,1.03886,2.752,6.35,7.366,8.4,2.2479,3.2766,4.9022,5.6388,7.9248,0.584200102,1.8287,0.12192
20812,HF,2,0,8,12,AGH25,0,0,0,2.8,9.53,36.92,0.33,0.52,1.86,1.40462,4.519,7.62,10.16,9.000000001,2.54,3.6068,5.6134,6.096,8.3058,0.6096,1.5239,3.26136
20813,HF,2,0,8,13,AGH25,0,0,0,5.31,16.51,35.65,0.46,0.89,1.91,1.39192,3.909,5.08,8.89,9.000000001,2.5146,3.4798,5.3594,6.4008,8.433816,0.431800102,1.4629,3.18516
20814,HF,2,0,8,14,AGH25,0,0,0,5.95,15,50.92,0.34,0.974,2.02,2.09296,5.224,7.62,10.16,10.8,2.9845,4.2164,5.969,6.7056,8.129016,0.736600102,3.0478,3.48996
20912,HF,2,0,9,12,AGH25,0,0,0,5.68,14.76,50.2,0.43,0.844,1.91,2.37744,5.219,6.35,10.16,11.6,2.8702,4.5974,6.5278,6.096,8.433816,0.1524,1.0922,0.4572
20913,HF,2,0,9,13,AGH25,0,0,0,4.72,16.35,29,0.45,0.814,1.62,1.40208,3.738,5.08,8.89,9.2,2.4638,3.6068,5.4102,5.4864,8.787384,0.4572,1.4324,2.5908
20914,HF,2,0,9,14,AGH25,0,0,0,4.82,16.14,37.5,0.42,0.968,1.82,1.93548,4.368,6.35,8.89,9.000000001,2.6797,4.0132,5.5118,4.8768,7.949184,0.5334,0.9348,1.64592
21227,HF,3,0,12,27,AGH25,0,0,0,5.01,6.78,22.6,0.39,0.504,1.34,0.97028,3.281,8.636,8.89,9.099999999,1.8288,3.0988,7.2898,5.4864,7.3152,0.634999898,0.762,0.82296
21228,HF,3,0,12,28,AGH25,0,0,0,3.79,7.92,26.8,0.39,0.523,1.28,1.05664,3.456,8.89,7.62,8.1,1.9304,3.175,7.2898,4.572,6.6294,0.381,0.7112,0.82296
21229,HF,3,0,12,29,AGH25,0,0,0,4.35,12.59,33.2,0.49,0.832,1.74,2.0701,3.707,9.398,9.398,10.3,2.3495,3.9624,7.3787,4.8768,6.757416,0.355600102,0.3556,0.9144
21327,HF,3,0,13,27,AGH25,0,0,0,3.23,6.98,23.4,0.28,0.478,1.12,0.64516,2.294,5.08,8.128,10.16,1.6891,2.7432,4.3434,4.8768,.,0.355600102,0.7112,0.4572
21328,HF,3,0,13,28,AGH25,0,1,0,5.23,.,6.24,0.37,.,0.47,.,.,.,.,.,.,.,.,.,.,.,.,.
21329,HF,3,0,13,29,AGH25,0,0,0,4.81,9.94,29.37,0.5,0.63,1.54,1.5621,4.187,6.858,9.652,11.684,2.22631,3.5306,4.8133,4.572,.,0.381,0.9144,0.51816
21427,HF,3,0,14,27,AGH25,0,0,0,4.46,18.42,43.7,0.41,0.805,1.71,1.93802,4.436,6.858,8.89,10.16,2.5019,3.4798,4.7371,5.0292,9.144,0.330199898,0.508,0.36576
21428,HF,3,0,14,28,AGH25,0,0,0,4.2,16.92,42.22,0.37,0.763,1.62,1.6129,3.687,6.096,8.382,8.89,2.5527,3.2258,4.6482,4.572,9.144,0.3048,0.381,0.51816
21429,HF,3,0,14,29,AGH25,0,0,0,4.37,11.68,31,0.41,0.694,1.44,1.40716,3.537,5.08,8.636,10.668,2.2225,3.302,5.0419,4.8768,8.5344,0.558799898,0.8128,0.97536
21712,HF,4,0,17,12,AGH25,0,0,0,6.31,8.58,18.5,0.52,0.454,1.22,1.2827,1.467,3.81,5.588,13.462,2.159,2.4384,4.4958,4.572,10.0584,0.558799898,1.2191,2.9718
21713,HF,4,0,17,13,AGH25,0,0,0,3.22,10.82,30.7,0.35,0.434,1.37,2.02438,2.757,5.08,7.112,10.414,2.413,3.175,4.5085,4.8768,10.0584,0.558799898,1.5239,1.2192
21714,HF,4,0,17,14,AGH25,0,0,0,7.96,16.48,34.6,0.44,1.011,2.06,0.9398,4.375,7.62,10.16,12.954,2.159,3.556,4.7498,4.8768,10.3632,0.4572,1.2191,0.1524
21812,HF,4,0,18,12,AGH25,0,0,0,5.37,16.42,21.1,0.47,1.037,2.32,3.11658,5.792,7.62,9.652,10.16,3.048,4.3688,5.3594,5.4864,9.7536,0.6096,1.9201,0.3048
21813,HF,4,0,18,13,AGH25,0,0,0,7.16,14.62,35.8,0.51,0.856,1.72,1.36398,4.235,7.62,8.636,5.334,2.413,3.937,6.1341,5.4864,7.9248,0.355600102,2.4992,4.0386
21814,HF,4,0,18,14,AGH25,0,0,0,6.27,12.13,28.9,0.5,0.612,1.34,1.31826,3.461,6.35,7.62,12.446,2.0574,3.2766,5.715,5.1816,10.3632,0.330199898,2.1334,0.4572
21912,HF,4,0,19,12,AGH25,0,0,0,7.04,13.05,50.3,0.48,0.523,1.62,2.06248,5.157,6.35,7.874,6.604,2.5908,4.1148,6.1976,6.096,7.62,0.508000102,1.0414,0.3048
21913,HF,4,0,19,13,AGH25,0,0,0,6.3,16.22,41.3,0.56,0.7,1.92,2.0955,4.4,7.62,10.414,11.43,2.667,3.9116,5.4991,6.096,8.2296,0.4572,1.2197,1.56972
21914,HF,4,0,19,14,AGH25,0,0,0,6.79,19.29,35.5,0.54,0.54,1.5,1.30048,4.119,6.35,8.89,11.43,2.1844,3.6322,5.5372,6.096,8.5344,0.5334,1.2446,1.73736
20222,HF,1,0,2,22,AGHS1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20223,HF,1,0,2,23,AGHS1,0,1,1,5.07,.,.,0.51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20224,HF,1,0,2,24,AGHS1,0,0,0,7.15,13.09,22.6,0.6,0.742,1.38,1.49098,3.595,6.35,7.62,9.499999999,2.2733,4.0894,5.7404,6.096,7.946136,0.431800102,2.774,3.243072
20322,HF,1,0,3,22,AGHS1,0,0,0,4.69,14.71,42.1,0.55,1.38,2.15,2.14884,5.194,10.16,11.684,12.5,2.921,4.5466,6.1976,5.4864,8.2296,0.050800102,1.0414,1.93548
20323,HF,1,0,3,23,AGHS1,0,0,0,6.33,13.29,55.8,0.57,1.104,2.5,3.76936,6.767,11.43,12.446,15,3.4798,5.2832,6.3246,6.096,8.2296,0.8382,2.1334,1.0668
20324,HF,1,0,3,24,AGHS1,0,1,1,4.18,.,.,0.51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20422,HF,1,0,4,22,AGHS1,0,0,0,6.78,19.41,48.4,0.59,0.89,2.37,2.82956,5.387,7.62,8.89,9.000000001,3.1496,4.6482,6.5278,6.096,13.716,0.62992001,3.4897,1.2192
20423,HF,1,0,4,23,AGHS1,0,0,0,6.48,25.15,54.9,0.67,1.19,2.77,4.0894,4.682,6.35,7.62,8.5,3.2639,4.7752,6.3246,6.096,14.3256,0.6858,3.8098,0.9144
20424,HF,1,0,4,24,AGHS1,0,0,0,7.31,23.21,48.4,0.47,1.02,2.38,2.69748,5.352,7.62,8.128,8.600000001,3.0861,4.2672,6.0452,5.7912,11.5824,1.346200102,3.2002,3.048
20717,HF,2,0,7,17,AGHS1,0,0,0,6.26,15.22,43.15,0.52,0.915,3.42,2.6797,5.533,7.62,10.16,11.5,3.1242,4.7244,6.9596,6.4008,9.144,1.244599898,3.4906,4.60248
20718,HF,2,0,7,18,AGHS1,0,0,0,5.64,18.36,47.31,0.49,1.214,2.86,2.63652,2.918,5.08,9.652,8.699999999,3.2385,4.191,5.8166,6.096,9.144,1.168399898,3.8098,1.28016
20719,HF,2,0,7,19,AGHS1,0,0,0,6.39,13.58,43.73,0.58,0.823,2.6,3.38836,6.057,7.62,10.16,10.5,3.5052,4.5466,6.9342,6.5532,9.144,1.777999898,4.2669,5.27304
20817,HF,2,0,8,17,AGHS1,0,0,0,5.03,17.59,40.58,0.62,1.257,2.58,3.13436,5.986,7.62,11.43,10.8,3.3655,5.1308,7.0104,7.0104,8.9916,1.143,3.9622,5.4102
20818,HF,2,0,8,18,AGHS1,0,0,0,6.49,17.74,42.84,0.48,1.148,2.15,2.80924,5.386,6.35,8.89,10,3.1242,4.699,6.604,7.0104,10.110216,1.168399898,3.9622,6.11124
20819,HF,2,0,8,19,AGHS1,0,0,0,4.68,12.31,33.61,0.49,1.22,2.33,2.35204,5.241,5.08,5.842,9.000000001,3.0861,4.9276,6.7564,6.7056,6.653784,1.7526,3.6574,6.6294
20917,HF,2,0,9,17,AGHS1,0,0,0,6.49,16.6,34.2,0.52,0.9,2.35,2.7813,5.122,6.35,9.398,10,3.2512,4.6228,6.858,6.4008,9.930384,1.143,3.0478,5.22732
20918,HF,2,0,9,18,AGHS1,0,0,0,4.77,17.5,34.7,0.61,1.12,1.91,2.18948,4.792,7.62,9.398,10.8,2.8829,4.5466,6.7056,6.096,9.957816,0.406399898,2.2858,5.5626
20919,HF,2,0,9,19,AGHS1,0,0,0,4.4,11.96,30.5,0.54,1.29,1.9,2.51714,5.361,7.62,10.16,10.3,3.0226,4.6736,6.6548,5.9436,9.348216,0.634999898,2.8954,4.09956
21202,HF,3,0,12,2,AGHS1,0,0,0,5.88,15.96,49.8,0.59,1.146,2.5,3.6449,6.357,7.62,11.176,12.3,3.7592,5.6896,4.6101,7.9248,10.387584,1.498600102,5.4861,2.63652
21203,HF,3,0,12,3,AGHS1,0,0,0,5.77,18.44,52.8,0.59,1.046,2.58,4.7371,7.285,5.334,8.89,12.4,3.8227,5.5118,4.2926,7.7724,9.653016,1.777999898,3.9622,6.84276
21204,HF,3,0,12,4,AGHS1,0,0,0,5.49,19.11,51.3,0.53,0.957,2.38,3.74904,6.402,6.35,9.652,11.2,3.5687,5.4102,5.0927,7.7724,10.692384,1.6002,3.0478,7.05612
21302,HF,3,0,13,2,AGHS1,0,0,0,4.36,9.01,41.6,0.62,0.74,2.22,3.04038,5.537,6.35,9.652,10.16,3.3782,5.3848,7.0358,6.7056,.,1.168399898,4.7241,5.82168
21303,HF,3,0,13,3,AGHS1,0,0,0,5.27,16.1,37.72,0.59,0.8,2.2,2.78638,5.467,6.35,8.89,10.16,3.0988,5.0292,7.1628,6.7056,.,1.244599898,4.7241,3.90144
21304,HF,3,0,13,4,AGHS1,0,0,0,6.38,10.26,29.45,0.59,0.74,1.82,2.14122,3.925,5.588,7.62,8.89,2.7813,4.6736,6.477,6.4008,.,1.3716,3.8098,5.77596
21402,HF,3,0,14,2,AGHS1,0,0,0,6.05,20.28,62.62,0.67,1.157,2.8,4.78536,6.914,9.652,12.192,12.954,3.81,5.4102,6.9215,7.4676,10.3632,0.381,0.5334,1.85928
21403,HF,3,0,14,3,AGHS1,0,0,0,5.41,22.34,69.31,0.51,1.212,2.83,4.51358,6.748,8.636,11.43,12.954,3.7973,5.0292,7.239,7.62,10.3632,0.431800102,2.219,.
21404,HF,3,0,14,4,AGHS1,0,0,0,5.04,12.33,35.18,0.61,0.807,2.32,1.79324,4.781,6.858,9.652,13.208,2.7813,4.4196,6.6802,7.3152,10.668,0.2286,1.1684,3.1242
21727,HF,4,0,17,27,AGHS1,0,0,0,6,14.91,41.7,0.55,0.697,2.34,3.99542,5.356,7.62,10.414,11.684,3.6576,4.2672,6.3627,6.096,9.7536,0.406399898,2.743,3.53568
21728,HF,4,0,17,28,AGHS1,0,0,0,5.42,17.85,44.2,0.54,1.173,1.58,3.43154,5.414,7.62,9.652,10.16,3.1877,4.4958,6.35,5.7912,10.9728,0.381,2.4382,3.91668
21729,HF,4,0,17,29,AGHS1,0,0,0,7.32,15.74,46.2,0.62,0.797,1.3,2.7686,3.486,5.08,7.62,2.54,3.0734,3.7592,5.6007,4.8768,3.6576,0.1524,0.9906,2.9718
21827,HF,4,0,18,27,AGHS1,0,0,0,5.58,11.29,32.3,0.52,1.406,1.88,3.43408,5.594,7.62,9.906,.,3.2004,4.445,5.7785,6.4008,.,0.482599898,2.4382,3.44424
21828,HF,4,0,18,28,AGHS1,0,0,0,5.72,14.16,38.1,0.62,1,2.26,2.22504,4.944,6.35,9.652,12.7,2.7432,4.2926,6.4389,6.7056,9.7536,0.4572,0.9174,2.42316
21829,HF,4,0,18,29,AGHS1,0,0,0,5.23,11.81,18,0.59,0.71,1.17,1.31318,3.219,5.08,7.112,9.906,1.8796,3.3274,5.3975,6.096,9.4488,0.482599898,0.1346,3.23088
21927,HF,4,0,19,27,AGHS1,0,0,0,4.98,18.09,47.7,0.52,1.238,2.47,3.39344,6.016,7.62,9.652,12.192,3.2258,4.9784,0.6477,7.0104,10.3632,0.381,2.1334,3.47472
21928,HF,4,0,19,28,AGHS1,0,0,0,4.64,11.45,20.4,0.54,0.77,1.24,1.15316,3.445,5.08,7.62,11.176,1.9812,3.7084,5.6134,6.7056,9.7536,0.584200102,2.743,3.41376
21929,HF,4,0,19,29,AGHS1,0,0,0,5.65,12.96,23.8,0.7,0.743,1.28,1.12014,3.444,5.08,7.112,8.636,2.0574,3.4798,5.4483,6.096,9.4488,0.381,1.6458,1.93548
20217,HF,1,0,2,17,AGHS2,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20218,HF,1,0,2,18,AGHS2,0,0,0,5.15,10.24,32.72,0.49,0.731,1.94,2.39268,5.312,8.89,10.922,12.8,2.7813,4.8768,6.1976,6.4008,7.339584,0.584200102,1.433,1.73736
20219,HF,1,0,2,19,AGHS2,0,0,0,5.36,7.05,39.01,0.53,0.614,1.96,2.29108,4.304,7.62,9.144,11,2.794,4.4704,5.207,5.4864,7.043928,0.355600102,0.508,0.9144
20317,HF,1,0,3,17,AGHS2,0,0,0,5.1,10.35,41.4,0.45,0.822,2.23,2.39522,5.316,8.89,10.414,13.5,3.0099,4.4958,6.1468,6.7056,7.946136,0.431800102,1.1938,0.9144
20318,HF,1,0,3,18,AGHS2,0,1,1,4.56,.,.,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20319,HF,1,0,3,19,AGHS2,0,0,1,5.36,13.19,.,0.49,0.888,.,.,0.873,3.81,4.572,9.2,0.7366,2.0066,4.445,4.8768,6.425184,0.355600102,1.5239,1.24968
20417,HF,1,0,4,17,AGHS2,0,0,0,4.7,14.47,35.8,0.44,0.631,2.26,2.53492,5.325,8.89,9.652,9.800000001,2.921,4.6736,6.4008,6.4008,11.5824,0.787399898,3.8402,5.1816
20418,HF,1,0,4,18,AGHS2,0,0,0,3.97,18.78,15,0.45,0.794,2.57,3.03276,0.582,7.62,9.906,10,3.2385,4.7244,5.7912,6.096,10.9728,0.508000102,1.143,2.56032
20419,HF,1,0,4,19,AGHS2,0,0,0,4.88,17.04,24.4,0.44,0.882,2.63,3.28422,6.444,8.89,11.176,12.3,3.3655,5.08,6.7564,6.4008,11.8872,0.431800102,3.3221,3.79476
20722,HF,2,0,7,22,AGHS2,0,0,0,5.31,8.69,17.61,0.52,0.592,1.34,0.64516,2.859,5.08,7.366,7.899999999,1.8669,3.7338,6.6294,5.7912,9.144,0.736600102,3.9622,5.57784
20723,HF,2,0,7,23,AGHS2,0,0,0,4.8,12.65,26.69,0.46,0.71,1.85,1.26238,3.879,7.62,9.398,10.5,2.4511,4.1148,6.4516,5.9436,9.906,1.041400102,3.6574,5.2578
20724,HF,2,0,7,24,AGHS2,0,0,0,5.54,8.62,14.88,0.47,0.646,1.25,0.6096,2.885,3.81,6.096,9.652,1.8288,5.461,5.3848,5.1816,.,0.660400102,3.9622,5.0292
20822,HF,2,0,8,22,AGHS2,0,0,0,4.8,11.55,24.93,0.49,1.002,1.56,1.19634,4.023,6.35,8.128,9.000000001,2.3241,4.3434,6.5532,7.0104,9.701784,1.041400102,5.6574,5.85216
20823,HF,2,0,8,23,AGHS2,0,0,0,6.12,11.55,25.69,0.43,0.86,1.73,1.32588,3.914,6.35,8.89,9.6,2.286,4.3688,6.6802,7.0104,9.625584,0.9906,4.1145,4.974336
20824,HF,2,0,8,24,AGHS2,0,0,0,3.85,15.26,31.02,0.48,0.968,1.35,1.48082,3.771,6.35,9.906,10.6,2.4892,4.1402,6.5786,7.0104,9.473184,0.889000102,3.505,4.6482
20922,HF,2,0,9,22,AGHS2,0,0,0,4.18,12.66,35.2,0.49,0.89,2.45,2.45618,5.608,7.62,8.89,9.899999999,3.0988,4.5974,7.0231,5.4864,10.0584,1.2192,4.8765,3.32232
20923,HF,2,0,9,23,AGHS2,0,0,0,4.26,16.87,35.5,0.43,1.153,2.2,2.3749,5.933,7.62,10.414,11.3,2.921,4.4704,6.7564,5.7912,9.6774,0.812800102,4.2669,5.724144
20924,HF,2,0,9,24,AGHS2,0,0,0,4.37,15.58,31.7,0.42,0.81,1.46,1.27762,4.174,6.35,9.398,9.800000001,2.3241,4.3688,6.5278,5.4864,9.6012,0.381,1.911,4.70916
21212,HF,3,0,12,12,AGHS2,0,0,0,4.81,16.11,47,0.43,0.855,2.48,2.94894,5.287,7.62,9.652,9.499999999,3.2893,4.9784,5.13715,7.3152,9.3726,1.015999898,4.5717,5.733288
21213,HF,3,0,12,13,AGHS2,0,0,0,4.51,18.08,49,0.46,0.954,2.58,3.08102,5.455,6.858,10.16,10.6,3.4544,5.1308,5.588,7.3152,10.262616,1.2192,4.5717,5.715
21214,HF,3,0,12,14,AGHS2,0,0,0,3.71,17.81,50.9,0.46,0.847,2.65,3.64998,6.055,6.35,10.16,10.9,3.6576,5.4356,5.352288,7.3152,9.8298,1.54939999,3.505,5.83692
21312,HF,3,0,13,12,AGHS2,0,0,0,5.14,14.82,35.4,0.45,0.936,2.3,2.90068,4.986,6.35,8.89,10.16,3.2258,4.8006,6.8072,7.0104,.,1.3716,3.9622,5.12064
21313,HF,3,0,13,13,AGHS2,0,0,0,3.99,13.18,46.15,0.4,1.21,2.54,3.15468,5.597,6.858,8.89,10.16,3.5433,5.4102,6.7945,6.4008,.,1.422400102,3.9622,5.13588
21314,HF,3,0,13,14,AGHS2,0,0,0,4.76,17.09,46.72,0.46,1.015,2.5,2.9591,5.043,6.096,9.398,10.16,3.2893,5.1054,7.2263,6.7056,.,1.2192,4.5717,5.9436
21412,HF,3,0,14,12,AGHS2,0,0,0,3.72,19.17,55.81,0.4,1.222,2.95,3.92684,6.933,9.144,11.43,10.668,3.7719,5.4864,7.3152,7.3152,10.9728,0.660400102,4.8765,3.84048
