"","Year","Location","Family","Block","GLD","GLB"
"94","First","Hill Farm","AGHS4",2,14.98,"AGHS4_Hill Farm_2"
"95","First","Hill Farm","AGHS4",3,11.1,"AGHS4_Hill Farm_3"
"96","First","Hill Farm","AGHS4",4,15.28,"AGHS4_Hill Farm_4"
"97","Second","LA Tech","AGH2",1,37.02,"AGH2_LA Tech_1"
"98","Second","LA Tech","AGH2",2,37.07,"AGH2_LA Tech_2"
"99","Second","LA Tech","AGH2",3,40.7,"AGH2_LA Tech_3"
"100","Second","LA Tech","AGH2",4,29.69,"AGH2_LA Tech_4"
"101","Second","LA Tech","AGH25",1,37.09,"AGH25_LA Tech_1"
"102","Second","LA Tech","AGH25",2,43.4,"AGH25_LA Tech_2"
"103","Second","LA Tech","AGH25",3,38.97,"AGH25_LA Tech_3"
"104","Second","LA Tech","AGH25",4,47.91,"AGH25_LA Tech_4"
"105","Second","LA Tech","AGHS1",1,42.18,"AGHS1_LA Tech_1"
"106","Second","LA Tech","AGHS1",2,57.57,"AGHS1_LA Tech_2"
"107","Second","LA Tech","AGHS1",3,46.74,"AGHS1_LA Tech_3"
"108","Second","LA Tech","AGHS1",4,43.46,"AGHS1_LA Tech_4"
"109","Second","LA Tech","AGHS2",1,44.65,"AGHS2_LA Tech_1"
"110","Second","LA Tech","AGHS2",2,49.81,"AGHS2_LA Tech_2"
"111","Second","LA Tech","AGHS2",3,54.97,"AGHS2_LA Tech_3"
"112","Second","LA Tech","AGHS2",4,55.59,"AGHS2_LA Tech_4"
"113","Second","LA Tech","AGHS3",1,46.78,"AGHS3_LA Tech_1"
"114","Second","LA Tech","AGHS3",2,46.46,"AGHS3_LA Tech_2"
"115","Second","LA Tech","AGHS3",3,45.06,"AGHS3_LA Tech_3"
"116","Second","LA Tech","AGHS3",4,48.73,"AGHS3_LA Tech_4"
"117","Second","LA Tech","AGHS4",1,45.08,"AGHS4_LA Tech_1"
"118","Second","LA Tech","AGHS4",2,49.74,"AGHS4_LA Tech_2"
"119","Second","LA Tech","AGHS4",3,49.4,"AGHS4_LA Tech_3"
"120","Second","LA Tech","AGHS4",4,49.01,"AGHS4_LA Tech_4"
"121","Second","Hill Farm","AGH2",1,36.76,"AGH2_Hill Farm_1"
"122","Second","Hill Farm","AGH2",2,35.9,"AGH2_Hill Farm_2"
"123","Second","Hill Farm","AGH2",3,34.63,"AGH2_Hill Farm_3"
"124","Second","Hill Farm","AGH2",4,27.17,"AGH2_Hill Farm_4"
"125","Second","Hill Farm","AGH25",1,40.93,"AGH25_Hill Farm_1"
"126","Second","Hill Farm","AGH25",2,34.32,"AGH25_Hill Farm_2"
"127","Second","Hill Farm","AGH25",3,28.73,"AGH25_Hill Farm_3"
"128","Second","Hill Farm","AGH25",4,32.97,"AGH25_Hill Farm_4"
"129","Second","Hill Farm","AGHS1",1,45.37,"AGHS1_Hill Farm_1"
"130","Second","Hill Farm","AGHS1",2,38.96,"AGHS1_Hill Farm_2"
"131","Second","Hill Farm","AGHS1",3,47.75,"AGHS1_Hill Farm_3"
"132","Second","Hill Farm","AGHS1",4,34.71,"AGHS1_Hill Farm_4"
"133","Second","Hill Farm","AGHS2",1,31.39,"AGHS2_Hill Farm_1"
"134","Second","Hill Farm","AGHS2",2,27.02,"AGHS2_Hill Farm_2"
"135","Second","Hill Farm","AGHS2",3,52.03,"AGHS2_Hill Farm_3"
"136","Second","Hill Farm","AGHS2",4,45.14,"AGHS2_Hill Farm_4"
"137","Second","Hill Farm","AGHS3",1,48,"AGHS3_Hill Farm_1"
"138","Second","Hill Farm","AGHS3",2,25.94,"AGHS3_Hill Farm_2"
"139","Second","Hill Farm","AGHS3",3,38.1,"AGHS3_Hill Farm_3"
"140","Second","Hill Farm","AGHS3",4,34.29,"AGHS3_Hill Farm_4"
"141","Second","Hill Farm","AGHS4",1,35.94,"AGHS4_Hill Farm_1"
"142","Second","Hill Farm","AGHS4",2,49.44,"AGHS4_Hill Farm_2"
"143","Second","Hill Farm","AGHS4",3,33.68,"AGHS4_Hill Farm_3"
"144","Second","Hill Farm","AGHS4",4,39.34,"AGHS4_Hill Farm_4"
