Plot,iaf_cov,ipf_cov,iag_cov,ipg_cov,ips_cov,naf_cov,npf_cov,nag_cov,npg_cov,nps_cov,gen_cov
highway_20_3_ctrl_one_yr,1.8,0,3.8,17,0,0,0,0,0,0,0
Hyattville_1_ctrl_one_yr,0,0,6.67,0,0,77.5,0,0,0,0,0
Hyattville_10_ctrl_one_yr,2.5,0,7.5,0,0,0.83,5.83,0,23.33,0,0
Hyattville_106_ctrl_one_yr,0.83,0,37.5,0,0,10.83,0,0,0,0,0
Hyattville_118_ctrl_one_yr,0,0,38.33,0,0,24.17,0,0,0.83,0,0
Hyattville_124_ctrl_one_yr,1.66,0,11.66,0,0,2.5,0,0,22.5,0,0
Hyattville_133_ctrl_one_yr,0,0,10.83,0,0,3.33,0,0,23.33,0,0
Hyattville_145_ctrl_one_yr,0.33,0,1.66,0,0,0.83,0.83,0,17.5,0,0
Hyattville_163_ctrl_one_yr,0,0.83,30,0,0,38.33,0,0,0,0,0
Hyattville_172_ctrl_one_yr,2.5,0,45.83,0,0,6.67,0,0.83,2.5,0,0
Hyattville_178_ctrl_one_yr,0,0,38.33,0,0,4.17,0,0.83,10.83,0,0
Hyattville_187_ctrl_one_yr,0,0,2.5,0,0,0,0.83,0,13.33,0,0
Hyattville_211_ctrl_one_yr,0,0,54.17,0,0,11.66,0,0,1.67,0,0
Hyattville_214_ctrl_one_yr,0,0,62.5,0,0,3.34,0,0.83,6.67,0,0
Hyattville_25_ctrl_one_yr,0.83,0,1.67,0,0,1.67,0,0,18.33,0.83,0
Hyattville_31_ctrl_one_yr,0,0,1.67,0,0,0,0,0,30.83,0.83,0
Hyattville_40_ctrl_one_yr,0,0,0.83,0,0,0,0,0,22.5,0,0
Hyattville_49_ctrl_one_yr,0,0,0.83,0,0,0,0,0,22.5,0,0
Hyattville_55_ctrl_one_yr,0,0,2.5,0,0,71.67,0,0,0,0,0
Hyattville_61_ctrl_one_yr,0,0,22.5,0,0,46.66,0,0,0,1.67,0
Hyattville_7_ctrl_one_yr,0,0,2.5,0,0,0.83,0,0,11.67,5.83,0
Hyattville_73_ctrl_one_yr,0.83,0,15,0,0,2.5,0,0,15.83,10,0
Hyattville_76_ctrl_one_yr,0.83,0,10.83,0,0,0,0,0,32.5,0,0
Hyattville_88_ctrl_one_yr,0,0,15,0,0,1.67,0.83,0,22.5,0,0
Hyattville_91_ctrl_one_yr,0,0,5.83,0,0,2.5,0,0,19.99,5,0
ida_belle_1_ctrl_one_yr,0,0,40,0,0,0,3.8,0,0.6,29.6,0
ida_belle_2_ctrl_one_yr,1.8,0,31.6,0,0,0,9.2,0,9.4,4.8,0
ida_belle_3_ctrl_one_yr,0,0,28.2,0,0,0,1.8,0,5.4,24,0
jackson_creek_1_ctrl_one_yr,0,4.4,28.4,3.6,0,4.8,1.8,0,0,11.8,28.2
jackson_creek_2_ctrl_one_yr,3,0,27.8,8.6,0,15,0,0,0,0.6,15
jackson_creek_3_ctrl_one_yr,0,0,8.6,11.8,0,12.6,0,0,0,6.2,4.2
julia-herb2-1_17_ctrl_one_yr,1.5,8,3.5,0,0,0,7.5,0,44,0,0
julia-herb2-2_13_ctrl_one_yr,0,11,8.5,0,0,0,0,0,35,0.5,0
julia-herb2-3_10_ctrl_one_yr,0.5,0,11.5,0,0,0,3,0,58,0,0
julia-herb2-4_2_ctrl_one_yr,0,7.5,47.5,0,0,0,0.5,0,31,0,0
Kane_1_ctrl_one_yr,1,16,27,1,0,0,10,0,21,0,5
Kane_2_ctrl_one_yr,1,6,26,0,0,0,36,0,20,0,1
Kane_3_ctrl_one_yr,1,1,37,0,0,0,6,0,25,5,0
Kane_4_ctrl_one_yr,1,4,27,0,0,0,20,0,20,0,0
larkspur_101_ctrl_one_yr,4.3,2.7,0,2.3,0,0,1,0,10,0,11.7
larkspur_212_ctrl_one_yr,4.6,0,0,1,0,0,3,0,8.3,23,9.9
larkspur_313_ctrl_one_yr,5,0.7,0,0,0,0,8,0,9.6,0.3,17.7
larkspur_404_ctrl_one_yr,6,0.3,0,0,0,0,2.3,0,9.3,20.3,19
Masters_North_1_ctrl_one_yr,0,2,47,0,0,0,5,0,30,5,6
Masters_North_2_ctrl_one_yr,1,2,52,6,0,0,0,0,20,0,1
Masters_North_3_ctrl_one_yr,18,13,31,11,0,0,1,0,21,1,1
Masters_North_4_ctrl_one_yr,0,22,42,0,0,0,1,0,25,0,0
Masters_South_1_ctrl_one_yr,0,0,71,0,0,0,0,0,10,10,0
Masters_South_2_ctrl_one_yr,0,0,42,1,0,1,0,0,16,10,2
Masters_South_3_ctrl_one_yr,0,0,61,2,0,0,0,0,6,10,0
Masters_South_4_ctrl_one_yr,0,0,51,1,0,0,0,0,11,2,1
Missoula_Landfill_CEST_ctrl_one_yr_1,0,0.61,8.23,0.855,0,0,5.055,0,2.32,0.55,1.15
Missoula_Landfill_CEST_ctrl_one_yr_2,0,1.26,4.125,7.265,0,0,7.4,0,3.21,1.6,3.3
Missoula_Landfill_CEST_ctrl_one_yr_3,0,0.19,1.57,0.085,0,0,0.065,0,1.46,0.105,0.365
Missoula_Landfill_PORE_ctrl_one_yr_1,0,0.765,3.52,0.905,0,0.1,6.225,0,11.11,0.7,0.3
Missoula_Landfill_PORE_ctrl_one_yr_2,0,0.045,1.145,0.38,0,0.015,1.175,0,2.09,0.01,0.315
Missoula_Landfill_PORE_ctrl_one_yr_3,0,0.05,0.695,0.15,0,0.01,0.905,0,2.745,0.065,0.15
MPG1_1_ctrl_one_yr,8.63,5.28,10.93,0.86,0,1.49,0.5,0,12,0,0.07
MPG1_2_ctrl_one_yr,3.78,1.64,20.64,0.28,0,3.07,9.99,0,14.5,0,2.71
MPG1_3_ctrl_one_yr,9,4.43,16.64,3.72,0,1.92,0.71,0,5.65,0,0.43
MPG2_1_ctrl_one_yr,3.14,0,21.57,3.5,0,0.42,9.36,0,3.78,0.57,0
MPG2_2_ctrl_one_yr,9.43,3.57,30.43,1.86,0,0.21,0.21,0,10.86,0.86,0.07
MPG2_3_ctrl_one_yr,1,0,12.71,21.36,0,0.07,0.93,0,6.86,0,0.07
MPG3_1_ctrl_one_yr,4.43,0.07,10.93,0.5,0,0,3.07,0,12.64,7.28,0.07
MPG3_2_ctrl_one_yr,8.79,1.36,12.14,0.07,0,0.14,1.43,0,12,0.36,0.14
MPG3_3_ctrl_one_yr,7.58,1.64,7.5,1.72,0,0.14,6.92,0,13.35,6.42,0.21
Oren_1_ctrl_one_yr,1,0,72,0,0,1,16,0,16,0,0
Oren_2_ctrl_one_yr,6,0,51,10,0,1,6,0,20,6,1
Oren_3_ctrl_one_yr,1,0,46,5,0,2,11,0,20,0,0
Oren_4_ctrl_one_yr,1,1,37,1,0,0,30,0,15,0,0
Palouse_Prairie_airport_a_FEID1_ctrl_one_yr,1.5,1,5.75,0,0,2,27,0,22,1,0.5
Palouse_Prairie_airport_x_FEID1_ctrl_one_yr,0,2,0,50,0,0,51.75,0,9.75,4.25,3.75
Palouse_Prairie_bethel_canyon_c_SHRUB1_ctrl_one_yr,9.75,2.5,19,7.5,0,23,9.75,0,0,8,3.75
Palouse_Prairie_bethel_canyon_d_SHRUB1_ctrl_one_yr,3.25,0,36.5,1,0,7.25,1.75,0,1.75,18.5,0
Palouse_Prairie_driscoll_ridge_x_SHRUB1_ctrl_one_yr,0.5,0,0,86.75,0,0,5.5,0,0,0.5,0
Palouse_Prairie_jonejack_mountain_b_PSSP1_ctrl_one_yr,4.25,2.75,29.5,0.5,0.5,8.5,2.25,0,13.5,0,0
Palouse_Prairie_jonejack_mountain_c_PSSP1_ctrl_one_yr,1.5,0,37.75,0,0,0.5,34.75,0,5.5,14.75,0
Palouse_Prairie_kamiak_butte_g_SHRUB1_ctrl_one_yr,0,0,3.75,54.25,0,2.25,1.75,0,0,47.75,0.5
Palouse_Prairie_kamiak_butte_h_SHRUB1_ctrl_one_yr,33.25,0,70.25,0,0,0.5,1,0,0,16.5,0
Palouse_Prairie_kamiak_butte_i_PSSP1_ctrl_one_yr,8,0,18.25,0,0,0,2,0,8.25,0,0
Palouse_Prairie_kamiak_butte_j_SHRUB1_ctrl_one_yr,9.5,0.5,103.25,0,0,3,7.5,0,0,23.75,0.5
Palouse_Prairie_kamiak_butte_l_PSSP1_ctrl_one_yr,0.5,2.25,8.75,0,0,8.25,16,0,29.25,0,0
Palouse_Prairie_larson_road_a_SHRUB1_ctrl_one_yr,0,0,0,23,0,0,25.5,0,0,62.75,3.75
