Plot,Lat,Lon,State,Region,Elevation,Slope,MAP,T_min,MAT,T_max,rich,Shannon,litter,bare_rock,BD0cm,BD100cm,BD15cm,Bd200cm,BD30cm,BD5cm,BD60cm,Clay0cm,Clay100cm,Clay15cm,Clay200cm,Clay30cm,Clay5cm,Clay60cm,N0cm,N100cm,N15cm,N200cm,N30cm,N5cm,N60cm,pH0cm,pH100cm,pH15cm,pH200cm,pH30cm,pH5cm,pH60cm,Sand0cm,Sand100cm,Sand15cm,Sand200cm,Sand30cm,Sand5cm,Sand60cm,SOC0cm,SOC100cm,SOC15cm,SOC200cm,SOC30cm,SOC5cm,SOC60cm
Saratoga_225_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,18,2.239905215,0,0,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_240_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,7,0.949519227,25.83,15,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_250_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,17,1.902286505,0.83,52.5,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_253_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,11,1.608860642,0,35.83,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_268_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,12,1.873851765,0.83,56.67,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_271_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,12,1.926191545,1.67,33.33,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_277_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,12,2.149573286,0,45,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_286_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,8,1.385935909,1.67,44.17,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_289_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,10,1.573302409,20.83,30.83,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_301_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,15,1.968832715,1.67,17.5,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_325_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,14,2.06392008,0,0,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_328_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,10,1.738077719,1.67,40.83,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_343_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,11,1.721167484,0.83,32.5,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_346_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,7,1.306071808,0,0,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_355_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,11,1.365689737,0,0,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_373_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,12,2.067466753,0,0,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_376_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,7,1.192157784,13.33,20,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Sas_1_ctrl_one_yr,45.882,-111.056,MT,Western Cordillera,1499.04,5.03,530.29,-1.48,5.64,12.76,19,1.521044641,96.29,3.57,1042,1457,1320,1459,1376,1116,1417,21,22,23,21,25,21,26,17,12,25,14,16,25,12,73,80,70,80,73,70,78,24,32,24,35,22,24,24,60,6,20,5,12,28,8
