Plot,ALMY,APIN,BRAR,BRBR5,BRHO2,BRRA2,BRSE,BRST2,BRTE,TACA,VEDU,VUBR,VUMY
Hyattville_55_ctrl_one_yr,0,0,0,0,0,0,0,0,2.5,0,0,0,0
Hyattville_61_ctrl_one_yr,0,0,0,0,0,0,0,0,22.5,0,0,0,0
Hyattville_7_ctrl_one_yr,0,0,0,0,0,0,0,0,2.5,0,0,0,0
Hyattville_73_ctrl_one_yr,0,0,0,0,0,0,0,0,15,0,0,0,0
Hyattville_76_ctrl_one_yr,0,0,0,0,0,0,0,0,10.83,0,0,0,0
Hyattville_88_ctrl_one_yr,0,0,0.83,0,0,0,0,0,14.17,0,0,0,0
Hyattville_91_ctrl_one_yr,0,0,0,0,0,0,0,0,5.83,0,0,0,0
ida_belle_1_ctrl_one_yr,0,0,4.8,0,0,0,0,0,31.4,0,3.8,0,0
ida_belle_2_ctrl_one_yr,0,0,4.8,0,0,0,0,0,10.6,0,16.2,0,0
ida_belle_3_ctrl_one_yr,0,0,5.6,0,0,0,0,0,13.2,0,9.4,0,0
jackson_creek_1_ctrl_one_yr,0,0,20.2,0,0,0,0,0,0,0,8.2,0,0
jackson_creek_2_ctrl_one_yr,0,0,19.6,0,0,0,0,0,0,0,8.2,0,0
jackson_creek_3_ctrl_one_yr,0,0,6.8,0,0,0,0,0,0,0,1.8,0,0
julia-herb2-1_17_ctrl_one_yr,0,0,0,0,0,0,0,0,3.5,0,0,0,0
julia-herb2-2_13_ctrl_one_yr,0,0,0,0,0,0,0,0,8.5,0,0,0,0
julia-herb2-3_10_ctrl_one_yr,0,0,0,0,0,0,0,0,11.5,0,0,0,0
julia-herb2-4_2_ctrl_one_yr,0,0,0,0,0,0,0,0,47.5,0,0,0,0
Kane_1_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,25,0,0
Kane_2_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,25,0,0
Kane_3_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,35,0,0
Kane_4_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,25,0,0
larkspur_101_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
larkspur_212_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
larkspur_313_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
larkspur_404_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Masters_North_1_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,45,0,0
Masters_North_2_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,50,0,0
Masters_North_3_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,30,0,0
Masters_North_4_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,40,0,0
Masters_South_1_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,70,0,0
Masters_South_2_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,40,0,0
Masters_South_3_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,60,0,0
Masters_South_4_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,50,0,0
Missoula_Landfill_CEST_ctrl_one_yr_1,0,3.965,0.475,0,0,0,0,0,2.625,0,1.165,0,0
Missoula_Landfill_CEST_ctrl_one_yr_2,0,1.27,0.235,0,0,0,0,0,1.805,0,0.815,0,0
Missoula_Landfill_CEST_ctrl_one_yr_3,0,0.085,1.19,0,0,0,0,0,0.275,0,0.02,0,0
Missoula_Landfill_PORE_ctrl_one_yr_1,0,0.26,1.43,0,0,0,0,0,0.86,0,0.97,0,0
Missoula_Landfill_PORE_ctrl_one_yr_2,0,0.41,0.245,0,0,0,0,0,0.28,0,0.21,0,0
Missoula_Landfill_PORE_ctrl_one_yr_3,0,0.135,0.095,0,0,0,0,0,0.09,0,0.355,0.02,0
