"","Year","Location","Family","Block","Height","GLB"
"217","Fourth","Hill Farm","AGH2",1,3.17,"AGH2_Hill Farm_1"
"218","Fourth","Hill Farm","AGH2",2,3.46,"AGH2_Hill Farm_2"
"219","Fourth","Hill Farm","AGH2",3,3.38,"AGH2_Hill Farm_3"
"220","Fourth","Hill Farm","AGH2",4,2.97,"AGH2_Hill Farm_4"
"221","Fourth","Hill Farm","AGH25",1,3.47,"AGH25_Hill Farm_1"
"222","Fourth","Hill Farm","AGH25",2,3.55,"AGH25_Hill Farm_2"
"223","Fourth","Hill Farm","AGH25",3,3.31,"AGH25_Hill Farm_3"
"224","Fourth","Hill Farm","AGH25",4,3.6,"AGH25_Hill Farm_4"
"225","Fourth","Hill Farm","AGHS1",1,4.6,"AGHS1_Hill Farm_1"
"226","Fourth","Hill Farm","AGHS1",2,4.67,"AGHS1_Hill Farm_2"
"227","Fourth","Hill Farm","AGHS1",3,5.17,"AGHS1_Hill Farm_3"
"228","Fourth","Hill Farm","AGHS1",4,4.08,"AGHS1_Hill Farm_4"
"229","Fourth","Hill Farm","AGHS2",1,4.33,"AGHS2_Hill Farm_1"
"230","Fourth","Hill Farm","AGHS2",2,4.4,"AGHS2_Hill Farm_2"
"231","Fourth","Hill Farm","AGHS2",3,5.24,"AGHS2_Hill Farm_3"
"232","Fourth","Hill Farm","AGHS2",4,5.07,"AGHS2_Hill Farm_4"
"233","Fourth","Hill Farm","AGHS3",1,4.21,"AGHS3_Hill Farm_1"
"234","Fourth","Hill Farm","AGHS3",2,3.21,"AGHS3_Hill Farm_2"
"235","Fourth","Hill Farm","AGHS3",3,4.49,"AGHS3_Hill Farm_3"
"236","Fourth","Hill Farm","AGHS3",4,3.82,"AGHS3_Hill Farm_4"
"237","Fourth","Hill Farm","AGHS4",1,4.02,"AGHS4_Hill Farm_1"
"238","Fourth","Hill Farm","AGHS4",2,4.94,"AGHS4_Hill Farm_2"
"239","Fourth","Hill Farm","AGHS4",3,4.39,"AGHS4_Hill Farm_3"
"240","Fourth","Hill Farm","AGHS4",4,4.72,"AGHS4_Hill Farm_4"
"241","Fifth","LA Tech","AGH2",1,5.4,"AGH2_LA Tech_1"
"242","Fifth","LA Tech","AGH2",2,5.82,"AGH2_LA Tech_2"
"243","Fifth","LA Tech","AGH2",3,6.97,"AGH2_LA Tech_3"
"244","Fifth","LA Tech","AGH2",4,5.67,"AGH2_LA Tech_4"
"245","Fifth","LA Tech","AGH25",1,6.34,"AGH25_LA Tech_1"
"246","Fifth","LA Tech","AGH25",2,6.22,"AGH25_LA Tech_2"
"247","Fifth","LA Tech","AGH25",3,6.58,"AGH25_LA Tech_3"
"248","Fifth","LA Tech","AGH25",4,7.18,"AGH25_LA Tech_4"
"249","Fifth","LA Tech","AGHS1",1,7.18,"AGHS1_LA Tech_1"
"250","Fifth","LA Tech","AGHS1",2,7.33,"AGHS1_LA Tech_2"
"251","Fifth","LA Tech","AGHS1",3,8.4,"AGHS1_LA Tech_3"
"252","Fifth","LA Tech","AGHS1",4,7.21,"AGHS1_LA Tech_4"
"253","Fifth","LA Tech","AGHS2",1,7.32,"AGHS2_LA Tech_1"
"254","Fifth","LA Tech","AGHS2",2,7.33,"AGHS2_LA Tech_2"
"255","Fifth","LA Tech","AGHS2",3,8.49,"AGHS2_LA Tech_3"
"256","Fifth","LA Tech","AGHS2",4,7.87,"AGHS2_LA Tech_4"
"257","Fifth","LA Tech","AGHS3",1,6.62,"AGHS3_LA Tech_1"
"258","Fifth","LA Tech","AGHS3",2,6.89,"AGHS3_LA Tech_2"
"259","Fifth","LA Tech","AGHS3",3,6.93,"AGHS3_LA Tech_3"
"260","Fifth","LA Tech","AGHS3",4,7.21,"AGHS3_LA Tech_4"
"261","Fifth","LA Tech","AGHS4",1,6.77,"AGHS4_LA Tech_1"
"262","Fifth","LA Tech","AGHS4",2,7.39,"AGHS4_LA Tech_2"
"263","Fifth","LA Tech","AGHS4",3,7.68,"AGHS4_LA Tech_3"
"264","Fifth","LA Tech","AGHS4",4,7.72,"AGHS4_LA Tech_4"
"265","Fifth","Hill Farm","AGH2",1,3.95,"AGH2_Hill Farm_1"
"266","Fifth","Hill Farm","AGH2",2,4.82,"AGH2_Hill Farm_2"
"267","Fifth","Hill Farm","AGH2",3,5.84,"AGH2_Hill Farm_3"
"268","Fifth","Hill Farm","AGH2",4,4.73,"AGH2_Hill Farm_4"
"269","Fifth","Hill Farm","AGH25",1,4.62,"AGH25_Hill Farm_1"
"270","Fifth","Hill Farm","AGH25",2,5.28,"AGH25_Hill Farm_2"
"271","Fifth","Hill Farm","AGH25",3,5.69,"AGH25_Hill Farm_3"
"272","Fifth","Hill Farm","AGH25",4,5.36,"AGH25_Hill Farm_4"
"273","Fifth","Hill Farm","AGHS1",1,6.19,"AGHS1_Hill Farm_1"
"274","Fifth","Hill Farm","AGHS1",2,6.7,"AGHS1_Hill Farm_2"
"275","Fifth","Hill Farm","AGHS1",3,6.17,"AGHS1_Hill Farm_3"
"276","Fifth","Hill Farm","AGHS1",4,5.29,"AGHS1_Hill Farm_4"
"277","Fifth","Hill Farm","AGHS2",1,5.85,"AGHS2_Hill Farm_1"
"278","Fifth","Hill Farm","AGHS2",2,6.51,"AGHS2_Hill Farm_2"
"279","Fifth","Hill Farm","AGHS2",3,6.51,"AGHS2_Hill Farm_3"
"280","Fifth","Hill Farm","AGHS2",4,7.01,"AGHS2_Hill Farm_4"
"281","Fifth","Hill Farm","AGHS3",1,5.06,"AGHS3_Hill Farm_1"
"282","Fifth","Hill Farm","AGHS3",2,4.72,"AGHS3_Hill Farm_2"
"283","Fifth","Hill Farm","AGHS3",3,6.11,"AGHS3_Hill Farm_3"
"284","Fifth","Hill Farm","AGHS3",4,5.6,"AGHS3_Hill Farm_4"
"285","Fifth","Hill Farm","AGHS4",1,5.45,"AGHS4_Hill Farm_1"
"286","Fifth","Hill Farm","AGHS4",2,6.73,"AGHS4_Hill Farm_2"
"287","Fifth","Hill Farm","AGHS4",3,6.27,"AGHS4_Hill Farm_3"
"288","Fifth","Hill Farm","AGHS4",4,6.71,"AGHS4_Hill Farm_4"
"289","Sixth","LA Tech","AGH2",1,6.5,"AGH2_LA Tech_1"
"290","Sixth","LA Tech","AGH2",2,6.89,"AGH2_LA Tech_2"
"291","Sixth","LA Tech","AGH2",3,8.23,"AGH2_LA Tech_3"
"292","Sixth","LA Tech","AGH2",4,6.93,"AGH2_LA Tech_4"
"293","Sixth","LA Tech","AGH25",1,7.32,"AGH25_LA Tech_1"
"294","Sixth","LA Tech","AGH25",2,7.35,"AGH25_LA Tech_2"
"295","Sixth","LA Tech","AGH25",3,8.16,"AGH25_LA Tech_3"
"296","Sixth","LA Tech","AGH25",4,8.5,"AGH25_LA Tech_4"
"297","Sixth","LA Tech","AGHS1",1,8.57,"AGHS1_LA Tech_1"
"298","Sixth","LA Tech","AGHS1",2,9.99,"AGHS1_LA Tech_2"
"299","Sixth","LA Tech","AGHS1",3,10.6,"AGHS1_LA Tech_3"
"300","Sixth","LA Tech","AGHS1",4,9.94,"AGHS1_LA Tech_4"
"301","Sixth","LA Tech","AGHS2",1,8.91,"AGHS2_LA Tech_1"
"302","Sixth","LA Tech","AGHS2",2,10.63,"AGHS2_LA Tech_2"
"303","Sixth","LA Tech","AGHS2",3,10.43,"AGHS2_LA Tech_3"
"304","Sixth","LA Tech","AGHS2",4,9.41,"AGHS2_LA Tech_4"
"305","Sixth","LA Tech","AGHS3",1,8.13,"AGHS3_LA Tech_1"
"306","Sixth","LA Tech","AGHS3",2,8.57,"AGHS3_LA Tech_2"
"307","Sixth","LA Tech","AGHS3",3,10.17,"AGHS3_LA Tech_3"
"308","Sixth","LA Tech","AGHS3",4,9.55,"AGHS3_LA Tech_4"
"309","Sixth","LA Tech","AGHS4",1,8.47,"AGHS4_LA Tech_1"
"310","Sixth","LA Tech","AGHS4",2,9.52,"AGHS4_LA Tech_2"
"311","Sixth","LA Tech","AGHS4",3,10.3,"AGHS4_LA Tech_3"
"312","Sixth","LA Tech","AGHS4",4,9.89,"AGHS4_LA Tech_4"
"313","Sixth","Hill Farm","AGH2",1,5.03,"AGH2_Hill Farm_1"
"314","Sixth","Hill Farm","AGH2",2,5.47,"AGH2_Hill Farm_2"
"315","Sixth","Hill Farm","AGH2",3,5.62,"AGH2_Hill Farm_3"
"316","Sixth","Hill Farm","AGH2",4,5.27,"AGH2_Hill Farm_4"
"317","Sixth","Hill Farm","AGH25",1,5.26,"AGH25_Hill Farm_1"
"318","Sixth","Hill Farm","AGH25",2,5.76,"AGH25_Hill Farm_2"
"319","Sixth","Hill Farm","AGH25",3,4.86,"AGH25_Hill Farm_3"
"320","Sixth","Hill Farm","AGH25",4,5.42,"AGH25_Hill Farm_4"
"321","Sixth","Hill Farm","AGHS1",1,5.94,"AGHS1_Hill Farm_1"
"322","Sixth","Hill Farm","AGHS1",2,6.47,"AGHS1_Hill Farm_2"
"323","Sixth","Hill Farm","AGHS1",3,7.3,"AGHS1_Hill Farm_3"
"324","Sixth","Hill Farm","AGHS1",4,6.2,"AGHS1_Hill Farm_4"
"325","Sixth","Hill Farm","AGHS2",1,6.05,"AGHS2_Hill Farm_1"
